Comment,Designator,Footprint,LCSC,Quantity
0.005R 1% 2W,R24,R_2512_6332Metric,C108931,1
0.010R 1%,R2,R_2512_6332Metric,C127692,1
100K 1%,"R20,R23",R_0402_1005Metric,C25741,2
100nF 50V,"C11,C15,C18,C25,C32,C4,C41",C_0402_1005Metric,C307331,7
100uF 25V,"C1,C10",CP_EIA-7343-30_AVX-N,C696814,2
10K 1%,R35,R_0402_1005Metric,C25744,1
10uF 50V,C29,C_1206_3216Metric,C13585,1
1M 1%,R26,R_1206_3216Metric,C17927,1
1R 1%,"R1,R28,R29,R3,R4",R_0402_1005Metric,C185446,5
1nF 2kV,C23,C_1206_3216Metric,C173242,1
1nF 50V,"C34,C35,C43",C_0402_1005Metric,C14442,3
1uF 50V,C26,C_0402_1005Metric,C1518208,1
2.2R 1%,"R17,R18",R_0402_1005Metric,C25101,2
2.2uF 25V,C7,C_0402_1005Metric,C385032,1
220nF 50V,"C8,C9",C_0402_1005Metric,C5159775,2
390pF 50V,"C36,C37",C_0402_1005Metric,C107050,2
470pF 50V,C14,C_0402_1005Metric,C106207,1
90.9K 1%,R52,R_0402_1005Metric,C163452,1
Blue,D2,LED_0402_1005Metric,C22355736,1
Green,D1,LED_0402_1005Metric,C965793,1
MCP1702T-3302E/CB,IC1,SOT-23,C33844,1
TPD4EUSB30DQAR,D5,USON10_2.5x1,C5199222,1
USB-TYPE-C-018,J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2927038,1
